9643.4;647206,3882141.75#647251,3879369.25#642691.125,3879296.5#642647.562,3882069#647206,3882141.75#647206,3882141.75
9644.3;651764.5,3882216.75#651810.875,3879444.25#647251,3879369.25#647206,3882141.75#651764.5,3882216.75#651764.5,3882216.75
9644.4;656323.062,3882294.25#656370.812,3879521.5#651810.875,3879444.25#651764.5,3882216.75#656323.062,3882294.25#656323.062,3882294.25
9645.3;656323.062,3882294.25#656323.987,3882294.266#656324,3882293.5#660881.634,3882373.222#660930.75,3879601.25#656370.812,3879521.5#656323.062,3882294.25#656323.062,3882294.25
9645.4;665440.25,3882455.75#665490.75,3879683#660930.75,3879601.25#660881.634,3882373.222#660883.25,3882373.25#660883.241,3882373.779#665440.25,3882455.75#665440.25,3882455.75
9646.3;669999,3882540#670050.812,3879767.25#665490.75,3879683#665440.25,3882455.75#669999,3882540#669999,3882540
9646.4;674557.625,3882626.5#674611,3879853.75#670050.812,3879767.25#669999,3882540#674557.625,3882626.5#674557.625,3882626.5
9647.3;679116.375,3882715.25#679171.062,3879942.5#674611,3879853.75#674557.625,3882626.5#679116.375,3882715.25#679116.375,3882715.25
9543.2;556012.312,3883895#556029.438,3881123#551471.5,3881095.75#551455.75,3883868#556012.312,3883895#556012.312,3883895
9544.1;560568.875,3883924.5#560587.375,3881152.25#556029.438,3881123#556012.312,3883895#560568.875,3883924.5#560568.875,3883924.5
9544.2;565125.438,3883956#565145.375,3881183.75#560587.375,3881152.25#560568.875,3883924.5#565125.438,3883956#565125.438,3883956
9545.1;569682.062,3883990#569703.375,3881217.75#565145.375,3881183.75#565125.438,3883956#569682.062,3883990#569682.062,3883990
9545.2;574238.688,3884026.25#574261.375,3881254#569703.375,3881217.75#569682.062,3883990#574238.688,3884026.25#574238.688,3884026.25
9546.1;578795.312,3884064.5#578819.375,3881292.25#574261.375,3881254#574238.688,3884026.25#578795.312,3884064.5#578795.312,3884064.5
9546.2;583351.938,3884105.25#583377.438,3881333#578819.375,3881292.25#578795.312,3884064.5#583351.938,3884105.25#583351.938,3884105.25
9547.1;587908.625,3884148.5#587935.5,3881376.25#583377.438,3881333#583351.938,3884105.25#587908.625,3884148.5#587908.625,3884148.5
9642.2;638089.125,3881998.5#633530.75,3881930.25#633490.018,3884701.528#638045.375,3884770#638047.015,3884770.025#638089.125,3881998.5#638089.125,3881998.5
9643.1;642604.012,3884840.766#642647.562,3882069#638089.125,3881998.5#638047.015,3884770.025#642603,3884840.75#642604.012,3884840.766#642604.012,3884840.766
9643.2;647161.075,3884913.506#647206,3882141.75#642647.562,3882069#642604.012,3884840.766#647160.688,3884913.5#647161.075,3884913.506#647161.075,3884913.506
9644.1;651718.258,3884988.748#651764.5,3882216.75#647206,3882141.75#647161.075,3884913.506#651718.258,3884988.748#651718.258,3884988.748
9644.2;656275.317,3885066.486#656323.062,3882294.25#651764.5,3882216.75#651718.258,3884988.748#651718.375,3884988.75#656275.317,3885066.486#656275.317,3885066.486
9645.2;665389.75,3885228.25#665440.25,3882455.75#660883.241,3882373.779#660834,3885146.25#660834,3885146.277#665389.75,3885228.25#665389.75,3885228.25
9646.1;669947,3885312.5#669999,3882540#665440.25,3882455.75#665389.75,3885228.25#669947,3885312.5#669947,3885312.5
9646.2;674504.312,3885399#674557.625,3882626.5#669999,3882540#669947,3885312.5#674504.312,3885399#674504.312,3885399
9647.1;679061.75,3885488#679116.375,3882715.25#674557.625,3882626.5#674504.312,3885399#679061.75,3885488#679061.75,3885488
9530.7;524109.281,3886526#524116.688,3883753.75#519560.219,3883742.75#519554.188,3886515#524109.281,3886526#524109.281,3886526
9530.8;528664.375,3886539.25#528673.188,3883767.25#524116.688,3883753.75#524109.281,3886526#528664.375,3886539.25#528664.375,3886539.25
